,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,REQUIREMENT_SET_ID,REQUIREMENT_SUBSET_ID,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,EXP_JOB_CLASS_FUNCTION,COURSE_COUNT,COURSE_LENGHT,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,DRIV_LIC_TYPE,EXAM_TYPE,ENTRY_SALARY_GEN,ENTRY_SALARY_DWP,OPEN_DATE
10,PORT POLICE SERGEANT 3222 121616.txt,PORT POLICE SERGEANT,3222,0,,"  A Port Police Sergeant supervises, assigns, reviews, and evaluates the work of a group of Port Police Officers or Port police civilian employees in the performance of their assigned duties; may perform some initial and follow-up investigations of crimes and related matters; exercises tactical command of field events; maintains Port community development programs; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work. 	",0,, ,2,full-time,Port Police Officer,, ,   ,,R, ,DEPT_PROM,102740,-1,2016-12-16
11,HEATING AND REFRIGERATION INSPECTOR 4245 121115.txt,HEATING AND REFRIGERATION INSPECTOR,4245,0,,"  A Heating and Refrigeration Inspector makes inspections of heating, ventilating, air-conditioning, and refrigerating installations for conformance to pertinent laws, regulations and approved plans and specifications; may inspect sheet metal installations for conformance to specifications; and assists in training other inspectional employees as required.",0,, ,4,full-time,,|the installation or repair of mechanical equipment used for heating| air conditioning| or refrigeration purposes., ,   ,,R, ,OPEN_INT_PROM,-1,-1,2015-12-11
12,CARPET LAYER 3418 061915.txt,CARPET LAYER,3418,3,,"  A Carpet Layer installs, removes, and repairs carpeting and padding.",3,apprenticeship,| helper to a journey-level carpet layer.,4,full-time,,| helper to a journey-level carpet layer., ,   ,,R, ,OPEN,81682,-1,2015-06-19
13,ANIMAL KEEPER 4304 083118.txt,ANIMAL KEEPER,4304,2,,"  An Animal Keeper cares for exotic mammals, birds, and reptiles (including venomous varieties) at the Los Angeles Zoo; observes and reports on animal behavior and condition for illnesses, compatibility, imminent birth and other signs reflecting the animal's well-being; prepares food for animals as instructed; maintains the exhibit premises in a clean and aesthetically pleasing manner; answers questions about animals from the general public; may make educational and other presentations before groups, and on radio and television; and may provide training and supervision to volunteers and students in caring for animals.",0,"university, college", ,1,full-time,,|the care and maintenance of exotic animals with a facility similar to the Los Angeles Zoo whose core function is the exhibition of a variety of exotic animals; or, ,   ,,P, ,OPEN,56396,-1,2018-08-31
14,CHIEF OF OPERATIONS 7258 042018 REV 051318.txt,CHIEF OF OPERATIONS,7258,2,,  A Chief of Operations supervises or assists in supervising a group of employees engaged in directing the airfield activities or managing passenger and cargo terminals at a Los Angeles World Airports' facility; and applies sound supervisory principles and techniques in building and maintaining an effective work force.,0,, ,3,full-time,Airport Superintendent Operations,, ,   ,,R, ,OPEN_INT_PROM,111374,-1,2018-04-20
15,PRINCIPAL LIBRARIAN 6155 032417 REV 040417.txt,PRINCIPAL LIBRARIAN,6155,2,,"  A Principal Librarian plans, organizes, directs, and supervises the work of library personnel at regional and neighborhood branch libraries, a Central Library department, or system-wide level, including Engagement and Learning, Emerging Technologies and Collections, or in a specialized library administrative function; ensures strategic goals and objectives are accomplished; represents and advocates for the library at community events and among diverse constituencies; may represent the Library Department and speak before elected officials, potential donors, and other public and private organizations; may interact with community based organizations and support groups, other city departments, vendors and contractors; plans, implements and reviews budgetary expenditures; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,"university, college", ,2,full-time,Senior Librarian,, ,   ,,P, ,OPEN_INT_PROM,101676,-1,2017-03-24
16,SENIOR ACCOUNTANT 1523 030218.txt,SENIOR ACCOUNTANT,1523,0,,"  A Senior Accountant plans, assigns, reviews and evaluates the work of a group of accountants engaged in preparing, maintaining and analyzing City financial records and reports; reviews and recommends changes to accounting procedures and systems and their related electronic information systems; conducts internal and/or external auditing work; may personally perform the more difficult or complex accounting work; routinely exercises independent judgment involving interpretation of accounting principles and procedures; may be responsible for all accounting work in a small department or for a particular phase of accounting in a larger accounting organization; and applies sound supervisory principles and techniques in building and maintaining an effective work force, and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Accountant,, ,   ,,P, ,OPEN_INT_PROM,76963,-1,2018-03-02
17,SENIOR SAFETY ENGINEER PRESSURE VESSELS 4262 101218.txt,SENIOR SAFETY ENGINEER PRESSURE VESSELS,4262,2,,"  A Senior Safety Engineer Pressure Vessels participates in and/or assigns, reviews and evaluates the work of Safety Engineers Pressure Vessels engaged in inspecting fired and unfired pressure vessels, and appurtenances for conformance to State laws and City ordinances regulating their design, fabrication, installation and operation; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,Safety Engineer Pressure Vessels,, ,   ,,R, ,OPEN_INT_PROM,104734,34936,2018-10-12
18,COMMUNITY AFFAIRS ADVOCATE  111414.txt,COMMUNITY AFFAIRS ADVOCATE,2496,3,,"  Liaison or community relations advocate to community groups, local civic officers and elected officials to foster partnerships with a diverse range of community interest groups to resolve problems and provide equitable services; develops and manages programs to enhance the effectiveness of the department's relationship with community, industry, political, and business stakeholders, as well as potential private donors.",0,"university, college"," Urban Planning, and",6,full-time,,|community advocacy or community/public outreach concerning sustainable development or the development of educational| communication| or community programs at the local| state or national level., ,   ,,P, ,OPEN,118807,-1,2014-11-14
19,BUILDING ELECTRICAL ENGINEER 7543 071516 REV 071816.txt,BUILDING ELECTRICAL ENGINEER,7543,2,,"  A Building Electrical Engineer supervises and participates in the preparation of plans, specifications and drawings for facilities, high and low voltage electrical systems such as power distribution systems, lighting, communication, control and instrumentation systems; supervises the checking of such plans for feasibility, constructability and conformance to good engineering practices and code requirements; may supervise a unit engaged in electrical testing of electrical appliances and equipment; or may supervise a section engaged in facility construction and commissioning.",0,"university, college", ,2,full-time,Safety Engineer Pressure Vessels,| lead or supervisor of engineering professionals.  , ,   ,,R, ,OPEN_INT_PROM,114892,-1,2016-07-15
20,SENIOR WORKERS_ COMPENSATION ANALYST 1769 041417 REV 042717.txt,SENIOR WORKERS' COMPENSATION ANALYST  ,1769,2,,"  A Senior Workers' Compensation Analyst analyzes claims for workers' compensation benefits; confers with and advises concerned parties and agencies; assigns, reviews, and evaluates the work of professional employees investigating, analyzing, and providing appropriate benefits for such claims; applies sound supervisory principles and techniques in building and maintaining an effective work force.",0,, ,2,full-time,Workers Compensation Analyst Senior Claims Representative,| workers' compensation analyst or in a position at that level administering indemnity claims| investigating and adjusting workers' compensation claims., ,   ,,P, ,OPEN_INT_PROM,82570,109139,2017-04-14
21,DIVISION LIBRARIAN 6157 012717 REV 022217.txt,DIVISION LIBRARIAN,6157,2,,"  A Division Librarian plans, organizes, and directs the work of professional and support library personnel who are providing library services to the public or supporting library services in a major division of the Los Angeles Public Library; heads a major library division such as Central Library Services, Branch Library Services, Emerging Technologies and Collections, or Engagement and Learning; assists with budget and financial reporting; assists with strategic planning activities; may represent the Library Department before elected officials, municipal agencies, and other public and private organizations; applies sound supervisory and management principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,"university, college", ,2,full-time,Principal Librarian,, ,   ,,P, ,OPEN_INT_PROM,146150,-1,2017-01-27
22,ELECTRIC METER SETTER 3822 012017.txt,ELECTRIC METER SETTER,3822,2,,"  An entry-level Electric Meter Setter works as a trainee under close supervision assisting journey-level Electric Meter Setters in the performance of their duties. Trainees receive extensive classroom training as well as on-the-job training. A journey-level Electric Meter Setter installs, changes and removes a large variety of electric meters and metering equipment on the premises of industrial, commercial and domestic consumers, and performs related work. ",0,, ,1,full-time,,| helper in an electrical trade; or, ,   ,,P, ,OPEN_INT_PROM,72348,-1,2017-01-20
23,SENIOR STOREKEEPER 1837 052518.txt,SENIOR STOREKEEPER,1837,0,,"  A Senior Storekeeper assigns, reviews and evaluates the work of Storekeepers and other employees engaged in storekeeping activities in a district store, a construction project store, or a large independent or specialized section of a general store; directs a smaller store serving a single large City department; may act as the assistant to a Principal Storekeeper; applies sound supervisory principles and techniques in building and maintaining an effective work force, and fulfills Equal Employment Opportunity responsibilities.",0,, ,2,full-time,,| Storekeeper or in a class at least at that level supervising and working with employees engaged in storekeeping., ,   ,,P, ,OPEN_INT_PROM,64989,85702,2018-05-25
24,UNDERGROUND DISTRIBUTION CONSTRUCTION MECHANIC 3812 101918.txt,UNDERGROUND DISTRIBUTION CONSTRUCTION MECHANIC,3812,4,,"  An Underground Distribution Construction Mechanic constructs, maintains, and repairs underground ducts, maintenance holes, and vaults.",0,, ,1,full-time,Maintenance Laborer Maintenance Construction Helper Electrical Craft Helper,|maintenance and construction work involving pipeline construction| asphalt work| electrical conduit construction| or concrete and cement work or carpentry; or| Utility Pre-Craft Trainee with the Los Angeles Department of Water and Power| with: six months in the Underground Construction Mechanic trade| or working on a district crew in Power Distribution overhead and underground| or with Water Distribution| or| or concrete and cement work or carpentry while in the United States Armed Forces., ,   ,,R, ,OPEN_INT_PROM,79364,-1,2018-10-19
25,POLICE SERGEANT 2227 102116.txt,POLICE SERGEANT                                                                     ,2227,0,,"  A Police Sergeant supervises a squad or detail of Police Officers or civilian employees in the performance of their assigned duties; performs some initial and follow-up investigation of crimes; does some surveillance work to detect and prevent crime; and does related work.  REQUIREMENTS/MINIMUM QUALIFICATIONS	 1. Four years as a Police Officer and/or Police Detective in the Los Angeles Police Department (LAPD), of which two years (26 Deployment Periods) must have been in an eligible geographic field (patrol) and/or traffic assignment by July 7, 2017; and  2. Completion of 60 semester or 90 quarter units at an accredited college or university.   3. Experience as an officer of a public, non-military law enforcement agency (other than the LAPD or MTA) may be substituted at the rate of one year of such experience for six months of qualifying service, for up to a maximum of one year of the four-year requirement.   ",0,"university, college", ,0,,,, ,   ,,NoR, ,DEPT_PROM,108440,-1,2016-10-21
26,STRUCTURAL ENGINEERING ASSOCIATE 7957 061617.txt,STRUCTURAL ENGINEERING ASSOCIATE,7957,3,,"  A Structural Engineering Associate performs professional structural engineering work in the preparation or checking of designs, plans, specifications, estimates, and reports for a variety of structures; and does related work.",0,"university, college", ,0,,,, ,   ,,P, ,OPEN,80242,88468,2017-06-16
27,SENIOR CONSTRUCTION ENGINEER 7289 042514.txt,SENIOR CONSTRUCTION ENGINEER,7289,3,,  A Senior Construction Engineer directs a large group of professional engineers and technical staff engaged in managing the activities of contract construction projects; assists in administering a contract construction program for the Department of Public Works; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and acts as assistant division engineer and may act as division engineer.,0,"university, college", ,2,full-time,,| civil engineer| architect| or in a class at least at that level which provides experience in the design or construction of commercial| industrial| or public buildings| or large wastewater treatment plant facilities; or, ,   ,,P, ,OPEN_INT_PROM,122326,-1,2014-04-25
28,SOCIAL WORKER 2385 102717  revised.txt,SOCIAL WORKER,2385,0,,"  A Social Worker performs a variety of professional social work tasks involving individuals, families, groups and communities; provides information and assistance to program recipients, caregivers and other professionals providing services to clients; performs continuing client assessment, diagnosis and treatment plans for various social services programs; may assign, review and evaluate the work of a group of employees engaged in delivering social services, including applying sound supervisory principles and techniques including building and maintaining an effective work force and fulfilling equal employment opportunity responsibilities, and personally conducts clinical assessments.",4,"university, college", ,0,,,, ,   ,,P, ,DEPT_PROM,71608,-1,2017-10-27
29,CITY PLANNER 7944 120718.txt,CITY PLANNER,7944,3,,"  A City Planner plans, supervises, coordinates and reviews the work of a unit engaged in professional City planning activities such as community and citywide planning, environmental planning, airport planning, land use administration, or zoning administration; applies sound supervisory principles and techniques in building and maintaining an effective work force; and on an exceptional basis some positions may function as a project manager and may personally perform work on the more complex and large planning projects exercising a high degree of decision-making authority. A City Planner may also conduct public hearings.",4,"university, college"," urban planning, urban studies, urban design, architecture, landscape architecture, geography or a closely-related field and four years of full-time paid professional experience in long-range or current urban planning. ",2,full-time,City Planning Associate,|long-range or current urban planning. , ,   ,,P, ,OPEN_INT_PROM,107396,-1,2018-12-07
30,SENIOR CIVIL ENGINEERING DRAFTING TECHNICIAN 7207 081718.txt,SENIOR CIVIL ENGINEERING DRAFTING TECHNICIAN ,7207,0,,"  A Senior Civil Engineering Drafting Technician assigns, reviews and evaluates the work of drafting technicians engaged in the preparation and maintenance of civil and structural engineering maps, design drawings, and plans; performs and maintains project records; assists in the development, training and implementation of computer-aided drafting (CAD), geographic information systems (GIS) and drawing management systems, in compliance with drafting and design standards; manages media storage, retrieval and security of data, electronic drawings and digital photo files; performs technical subprofessional engineering work in preparing designs, plans, specifications, and estimates; prepares complex civil and structural engineering plans on CAD; provides engineering information relative to proposed work to engineers, contractors and the general public; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills Equal Employment Opportunity responsibilities.",0,, ,3,full-time,,|civil engineering drafting in a class which is at the level of a Civil Engineering Drafting Technician., ,   ,,P, ,OPEN_INT_PROM,71180,88354,2018-08-17
31,SENIOR TRAFFIC SUPERVISOR 3218 121517.txt,SENIOR TRAFFIC SUPERVISOR,3218,0,,"  A Senior Traffic Supervisor assigns, reviews, and evaluates the work of a group of employees engaged in traffic direction, parking control, impoundment of vehicles, traffic control at special events, and other related traffic and pedestrian safety functions; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. ",0,, ,2,full-time,Traffic Officer,, ,   ,,R, ,DEPT_PROM,63976,-1,2017-12-15
32,ADMINISTRATIVE ANALYST 1590 060118.txt,ADMINISTRATIVE ANALYST,1590,3,,"  An Administrative Analyst performs professional work in the Office of the City Administrative Officer investigating, assembling, and interpreting facts and making reports and recommendations in administrative, fiscal, budgetary, compensation, facilities, contract analysis, capital projects or procedural analysis of City activities and services.",4,"university, college", ,1,full-time,Management Assistant,| Management Aide in Requirement #2., ,   ,,P, ,OPEN_INT_PROM,74478,-1,2018-06-01
33,SENIOR POLICE SERVICE REPRESENTATIVE 2209 020918.txt,SENIOR POLICE SERVICE REPRESENTATIVE,2209,0,,"  A Senior Police Service Representative assigns, reviews, evaluates and provides direct supervision to a number of Police Service Representatives responsible for receiving and analyzing requests for service from citizens and Police Officers in the field, and for dispatching patrol units using radio digital terminal and other methods; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. Senior Police Service Representatives must be available to work weekends and holidays, and day, night and early morning shifts, on a rotating basis.",0,, ,1,full-time,Police Service Representative,, ,   ,,NoR, ,OPEN_INT_PROM,83832,-1,2018-02-09
34,MACHINIST 3763 061016.txt,MACHINIST,3763,3,,"  A Machinist cuts and shapes metals and other materials using precision conventional and computerized numerical control machine tools and hand tools in the fabrication of parts and the construction, assembly, installation or repair of various types of machinery, equipment tools, and dies; and disassembles, repairs and reassembles machinery where fine alignment and close tolerances are required.",0,apprenticeship,,6,full-time,,, ,   ,,R,B,OPEN_INT_PROM,89094,96486,2016-06-10
35,DIRECTOR OF COMMUNICATIONS SERVICES 7625 042718.txt,DIRECTOR OF COMMUNICATIONS SERVICES,7625,2,,"  The Director of Communications Services directs, supervises, and coordinates the operations of a major division involved in the planning, design, construction, installation, operation, and maintenance of municipal communications systems.",0,, ,4,full-time,,, ,   ,,R, ,OPEN_INT_PROM,151504,-1,2018-04-27
36,SENIOR REAL ESTATE OFFICER 1961 0413018 (2).txt,SENIOR REAL ESTATE OFFICER,1961,3,ABCDPE,"  A Senior Real Estate Officer personally performs complex tasks involving real property rights that include, but are not limited to: negotiations, acquisitions, accounting dispositions, leasing, rental rate adjustments, and appraisals; may also assign, review, and evaluate the work of a group of technical employees engaged in negotiating for the acquisition, leasing, rental, or sale of real property rights; conducts relocation studies; makes valuation appraisals of real property to be acquired, sold, or leased to or by the City; appraises damages and special benefits to private and public property resulting from proposed public improvements or public utility installations; creates and implements property management programs to ensure permit/lease compliance and to protect the City's assets; manages contracts for services such as appraisals, relocations, and acquisitions; and manages City-owned buildings; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",4,"university, college", ,2,full-time,Real Estate Officer,|one or more of the following areas:, ,   ,,P, ,OPEN_INT_PROM,102614,52651,2018-04-13
37,WATERSHED RESOURCES SPECIALIST  7862 080516 (1).txt,WATERSHED RESOURCES SPECIALIST,7862,2,,"  A Watershed Resources Specialist performs environmental analyses, research, surveys, investigations and studies to manage natural resources within the Owens Valley and Mono Basin watersheds; recommends management actions to improve water quality and avoid resource conflicts that may threaten the City's water supply; analyzes grazing systems and recreational uses on City lands; makes recommendations to insure that land and water resources are used in a manner consistent with sound ecological and range management practices; conducts forage inventories and vegetation monitoring programs related to management of water resources to avoid vegetation impacts while maintaining a reliable water supply for the City of Los Angeles; studies the distribution, habits and classification of wildlife; provides technical guidance and assistance in the preparation of environmental impact reports and other environmental reports regarding water resource related projects; cooperates with federal, state, and local agencies in the improvement, management and protection of the City's watershed; develops and implements habitat restoration plans including several major stream restoration efforts; makes public presentations on related resource issues; assists in providing technical support for legal hearings regarding water resources issues; may supervise and/or lead a group of employees engaged in all types of work listed above; and does related work.",4,"university, college", ,4,full-time,,|any of the above fields; or|Requirement #1., ,   ,,R, ,OPEN_INT_PROM,85900,-1,2016-08-05
38,PARKING METER TECHNICIAN SUPERVISOR 3757 2017.txt,PARKING METER TECHNICIAN SUPERVISOR,3757,0,,"  A Parking Meter Technician Supervisor assigns, reviews, and evaluates the work of Parking Meter Technicians engaged in patrolling designated areas daily to inspect, adjust, and repair electronic parking meters and other parking control devices; directs the maintenance, repair, and installation of electronic parking meters throughout the City; performs major repairs on electronic parking meters in a shop or in the field; helps develop strategies for maintaining routes and meter repair in the shop and fields; inputs and reviews computer data relative to parking meter activity; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities. The regular work shift includes Saturdays.",0,, ,2,full-time,Parking Meter Technician,, ,   ,,R, ,OPEN_INT_PROM,64686,-1,2017-10-06
39,ELEVATOR REPAIR SUPERVISOR 032516 REVISED 040516.txt,ELEVATOR REPAIR SUPERVISOR,3869,3,,"  An Elevator Repair Supervisor assigns, reviews, and evaluates the work of Elevator Mechanics and other employees engaged in the maintenance and repair of passenger and freight elevators, escalators, moving walkways, and their appurtenant equipment; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,, ,2,full-time,,| journey-level elevator mechanic; and, ,   ,,P, ,OPEN_INT_PROM,103001,-1,2016-03-25
40,CHIEF OF PARKING ENFORCEMENT OPERATIONS 9180 031618.txt,CHIEF OF PARKING ENFORCEMENT OPERATIONS ,9180,2,,"  A Chief of Parking Enforcement Operations directs and coordinates the City's parking enforcement and intersection control program which includes ticket writing, towing and impoundment, booting, and directing vehicular and pedestrian traffic; and may direct the City's Crossing Guard Program.",0,, ,2,full-time,Parking Enforcement Manager,, ,   ,,R, ,OPEN_INT_PROM,151506,-1,2018-03-16
41,DRILL RIG OPERATOR 3521 033018.txt,DRILL RIG OPERATOR,3521,2,,"  A Drill Rig Operator operates hydraulic, mechanical, and percussion drilling equipment to drill through soil and rock for engineering and construction projects or to extract soil samples for laboratory testing.",0,, ,2,full-time,,|the operation or assisting in the operation of hydraulic| mechanical or percussion drilling equipment to drill through soil and rock for engineering and construction projects or to extract soil samples for laboratory testing; and, ,   ,,R,A,OPEN_INT_PROM,75774,-1,2018-03-30
42,RECREATION COORDINATOR 2469 091517(1).txt,RECREATION COORDINATOR,2469,3,,  A Recreation Coordinator assists a Recreation Facility Director or Senior Recreation Director in organizing and conducting a comprehensive program of community recreation activities for diverse groups of people.,4,"university, college"," recreation, physical education, fine arts, kinesiology, gerontology, early childhood development, psychology, or sociology",6,full-time,,, ,   ,,P, ,OPEN,57316,-1,2017-09-15
43,SENIOR ANIMAL KEEPER 4305 022616.txt,SENIOR ANIMAL KEEPER,4305,0,,"  A Senior Animal Keeper assigns, reviews and evaluates the work of employees engaged in caring for exotic mammals, birds, venomous and non-venomous reptiles, and amphibians at the Los Angeles Zoo; performs the more difficult and responsible work in caring for animals; maintains the exhibit premises in a clean and aesthetically pleasing manner; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",0,"university, college","cluding 8 semester units or 12 quarter units in the biological sciences, with courses in zoology or biology, may be substituted for one year of the required experience.  (Courses must be listed in the Supplemental Questions section of the application form.)",2,full-time,,|the Supplemental Questions section of the application form.),with,#Q 45 #S 30,,R, ,OPEN_INT_PROM,59310,-1,2016-02-26
44,HUMAN RELATIONS ADVOCATE 9207 122217.txt,HUMAN RELATIONS ADVOCATE,9207,2,,"  A Human Relations Advocate performs responsible staff work involved in facilitating activities within a complex network of City Departments, other governmental agencies, and community-based organizations.",4,"university, college", ,4,full-time,,|developing and/or providing direct program services to community-based organizations and/or multi-ethnic communities in the areas of improving inter-group relations| addressing human relations issues and problems resulting from prejudice| discrimination and intolerance; or|any of the above areas of expertise., ,   ,,P, ,OPEN,78072,-1,2017-12-22
45,STORES SUPERVISOR 1866 122917.txt,STORES SUPERVISOR,1866,2,,"  A Stores Supervisor plans, organizes and directs the work of employees engaged in stores or warehouse management activities within a major warehousing operation, commodity based stores group, or in supply and procurement activities within a large department; develops, maintains, reviews and applies standards and procedures for interdepartmental stores systems; develops and monitors budget expenditures; does material planning; is involved with the implementation of applicable warehouse technology; ensures proper employee training; oversees compliance with purchasing related requirements and delegated procurement authorizations; implements policy and procedural changes and ensures compliance; is responsible for inventory control for a specific group of stores; and applies sound supervisory principles and techniques in building and maintaining an effective work force while fulfilling equal employment opportunity responsibilities.",0,, ,2,full-time,Principal Storekeeper,, ,   ,,P, ,OPEN_INT_PROM,102208,113504,2017-12-29
